gender,highest_education,poverty,age,disability,num_of_prev_attempts,studied_credits,sum_click
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.1254039274173502
1.0,0.5,1.0,0.0,0.0,0.0,0.1,0.1306239125031071
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0265970668655232
1.0,0.25,1.0,0.0,1.0,0.0,0.15,0.0454470130085342
1.0,0.5,1.0,0.0,1.0,0.1666666666666666,0.05,0.0595741155025271
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.1793023448504432
1.0,0.0,1.0,0.0,0.0,0.1666666666666666,0.15,0.1088325461927251
0.0,0.5,0.0,0.5,0.0,0.0,0.05,0.3245090728312205
1.0,0.75,1.0,0.5,0.0,0.0,0.05,0.1825337641892451
0.0,0.25,0.0,0.0,1.0,0.0,0.05,0.1904465987240036
1.0,0.5,1.0,0.5,0.0,0.0,0.05,0.1997265722097936
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0990968597232579
1.0,0.5,0.0,0.5,0.0,0.0,0.05,0.087248322147651
1.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.1,0.1126025354213273
1.0,0.75,1.0,0.0,0.0,0.0,0.1,0.0620183942331593
0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0672383793189162
1.0,0.5,0.0,0.5,0.0,0.0,0.1,0.0789212030822769
0.0,0.5,0.0,0.5,0.0,0.0,0.05,0.1370038942745877
1.0,0.75,0.0,0.0,0.0,0.0,0.05,0.1622338221890794
1.0,0.5,1.0,0.0,1.0,0.0,0.15,0.1609909685972325
1.0,0.5,0.0,0.0,0.0,0.0,0.15,0.0873726075068356
0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.0628883917474521
1.0,0.25,1.0,0.0,0.0,0.0,0.15,0.0991382881763194
0.0,0.75,0.0,0.5,0.0,0.0,0.05,0.1530781340624741
1.0,0.25,1.0,0.5,0.0,0.0,0.05,0.0381970337227607
1.0,0.75,1.0,0.5,0.0,0.0,0.05,0.2234236473610075
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.1558124119645372
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.1876294639158174
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.0358356118982517
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0108956831551909
1.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0147071008368547
1.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.15,0.0071256939265887
0.0,0.25,1.0,0.5,0.0,0.0,0.15,0.1092468307233408
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.1386610323970503
1.0,0.5,0.0,0.0,0.0,0.0,0.15,0.2105393984588615
1.0,0.25,0.0,0.0,0.0,0.0,0.15,0.042339879028917
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.1020797083436904
1.0,0.25,1.0,0.5,0.0,0.0,0.1,0.1790123456790123
1.0,0.5,1.0,0.5,1.0,0.1666666666666666,0.2666666666666666,0.0920540227027922
1.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0149971000082856
1.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0514955671555224
1.0,0.25,1.0,0.0,0.0,0.0,0.05,0.1638909603115419
1.0,0.5,1.0,0.0,0.0,0.0,0.1,0.117656806694838
1.0,0.5,1.0,0.0,0.0,0.0,0.1,0.0152870991797166
1.0,0.5,1.0,0.5,0.0,0.0,0.05,0.0546027011351396
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0105228270776369
1.0,0.5,1.0,0.0,0.0,0.0,0.15,0.1111111111111111
1.0,0.25,1.0,0.0,0.0,0.0,0.05,0.098144005302842
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.1404010274256359
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.2557378407490264
1.0,0.25,1.0,0.0,0.0,0.0,0.15,0.3616289667743806
1.0,0.5,1.0,0.0,0.0,0.0,0.35,0.0102328279062059
1.0,0.5,1.0,0.0,0.0,0.0,0.05,0.1055596984008617
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.1184025188499461
1.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0081614052531278
1.0,0.75,1.0,0.5,0.0,0.0,0.05,0.1937194465158671
0.0,0.5,0.0,0.5,0.0,0.1666666666666666,0.15,0.1518767089236888
0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.1504681415195956
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0943325876211782
1.0,0.25,0.0,0.5,0.0,0.1666666666666666,0.05,0.0124699643715303
1.0,0.5,1.0,0.0,0.0,0.3333333333333333,0.05,0.0350070428370204
1.0,0.5,0.0,0.0,1.0,0.0,0.15,0.0009528544204159
1.0,0.25,1.0,0.0,0.0,0.0,0.05,0.1099511144253873
0.0,0.5,1.0,0.0,0.0,0.0,0.05,0.1808351976137211
1.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.1,0.0557212693678018
0.0,0.25,0.0,0.0,0.0,0.0,0.15,0.2949291573452647
1.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.15,0.2113679675200928
1.0,0.25,0.0,0.5,0.0,0.0,0.05,0.0325627641063882
1.0,0.25,1.0,0.0,0.0,0.0,0.15,0.0704283702046565
1.0,0.25,1.0,0.0,0.0,0.0,0.1,0.2198193719446516
1.0,0.5,0.0,0.0,0.0,0.0,0.15,0.1635595326870494
1.0,0.75,1.0,1.0,0.0,0.0,0.1,0.0084099759714972
1.0,0.25,1.0,0.5,0.0,0.0,0.05,4.142845306156268e-05
1.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.05,0.1418924517358522
1.0,0.75,0.0,0.0,0.0,0.0,0.05,0.042629878200348
1.0,0.5,0.0,0.0,0.0,0.0,0.15,0.2740077885491755
0.0,0.5,1.0,0.0,0.0,0.1666666666666666,0.05,0.1461595824011931
1.0,0.5,1.0,0.0,0.0,0.0,0.15,0.0732869334659043
1.0,0.75,1.0,0.5,0.0,0.0,0.05,0.1455795840583312
0.0,0.5,0.0,0.5,0.0,0.0,0.05,0.2491921451652995
1.0,0.25,1.0,0.0,0.0,0.0,0.1,0.2067694092302593
1.0,0.25,1.0,0.0,0.0,0.0,0.15,0.0957411550252713
1.0,0.5,0.0,0.0,0.0,0.1666666666666666,0.15,0.1498052862706106
1.0,0.5,0.0,0.5,0.0,0.1666666666666666,0.1,0.2436407324550501
1.0,0.5,1.0,0.0,0.0,0.0,0.15,0.1243682160908111
0.0,0.5,1.0,0.5,0.0,0.0,0.05,0.2318750517855663
1.0,0.0,1.0,0.0,0.0,0.1666666666666666,0.15,0.0339713315104814
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.0758554975557212
1.0,0.25,1.0,0.0,0.0,0.0,0.05,0.0213356533267047
1.0,0.25,1.0,0.0,0.0,0.0,0.1,0.00927997348579
1.0,0.25,1.0,0.5,1.0,0.0,0.05,0.2235893611732538
0.0,0.5,0.0,0.0,0.0,0.0,0.15,0.1405253127848206
1.0,0.5,0.0,0.0,0.0,0.0,0.05,0.3891374596072582
1.0,0.75,0.0,0.5,0.0,0.0,0.05,0.1118153948131576
